"","ID","Group","Response_time","age","sex","Accuracy","Side","Direction","View","Angle","MIQ_item","MIQ_score","RT","Block","Angle_unif","Reject_trial"
"1","P01","Foot",2312.48320000009,25,"Female",1,"Right","Down","Palmar","180",NA,NA,2312.48320000009,1,180,"no"
"2","P01","Foot",1135.71270000011,25,"Female",0,"Left","Medial","Dorsal","270",NA,NA,1135.71270000011,1,90,"no"
"3","P01","Foot",2433.96389999998,25,"Female",1,"Right","Lateral","Palmar","90",NA,NA,2433.96389999998,1,90,"no"
"4","P01","Foot",1205.76090000009,25,"Female",1,"Right","Lateral","Dorsal","135",NA,NA,1205.76090000009,1,135,"no"
"5","P01","Foot",1577.69890000009,25,"Female",0,"Left","Lateral","Palmar","90",NA,NA,1577.69890000009,1,90,"no"
"6","P01","Foot",1720.89180000012,25,"Female",1,"Right","Medial","Dorsal","270",NA,NA,1720.89180000012,1,90,"no"
"7","P01","Foot",1398.39920000009,25,"Female",1,"Right","Medial","Palmar","270",NA,NA,1398.39920000009,1,90,"no"
"8","P01","Foot",864.807700000028,25,"Female",1,"Right","Up","Dorsal","0",NA,NA,864.807700000028,1,0,"no"
"9","P01","Foot",2507.54319999987,25,"Female",1,"Left","Down","Dorsal","180",NA,NA,2507.54319999987,1,180,"no"
"10","P01","Foot",1782.75040000017,25,"Female",1,"Right","Medial","Dorsal","315",NA,NA,1782.75040000017,1,45,"no"
"11","P01","Foot",2059.1394999999,25,"Female",1,"Left","Lateral","Palmar","45",NA,NA,2059.1394999999,1,45,"no"
"12","P01","Foot",828.208399999994,25,"Female",1,"Right","Lateral","Dorsal","90",NA,NA,828.208399999994,1,90,"no"
"13","P01","Foot",2016.72250000001,25,"Female",1,"Right","Medial","Dorsal","225",NA,NA,2016.72250000001,1,135,"no"
"14","P01","Foot",976.478799999995,25,"Female",1,"Left","Lateral","Dorsal","135",NA,NA,976.478799999995,1,135,"no"
"15","P01","Foot",1937.9014000001,25,"Female",1,"Left","Down","Palmar","180",NA,NA,1937.9014000001,1,180,"no"
"16","P01","Foot",2416.45449999987,25,"Female",1,"Left","Medial","Dorsal","225",NA,NA,2416.45449999987,1,135,"no"
"17","P01","Foot",932.265200000074,25,"Female",0,"Right","Lateral","Palmar","135",NA,NA,932.265200000074,1,135,"no"
"18","P01","Foot",1492.38799999989,25,"Female",1,"Right","Lateral","Palmar","45",NA,NA,1492.38799999989,1,45,"no"
"19","P01","Foot",761.880500000188,25,"Female",1,"Right","Lateral","Dorsal","45",NA,NA,761.880500000188,1,45,"no"
"20","P01","Foot",852.474100000109,25,"Female",1,"Left","Medial","Dorsal","315",NA,NA,852.474100000109,1,45,"no"
"21","P01","Foot",1637.0902000001,25,"Female",1,"Left","Medial","Palmar","315",NA,NA,1637.0902000001,1,45,"no"
"22","P01","Foot",1871.84849999994,25,"Female",1,"Right","Down","Dorsal","180",NA,NA,1871.84849999994,1,180,"no"
"23","P01","Foot",1463.67769999983,25,"Female",1,"Right","Medial","Palmar","315",NA,NA,1463.67769999983,1,45,"no"
"24","P01","Foot",934.602999999925,25,"Female",1,"Left","Up","Dorsal","0",NA,NA,934.602999999925,1,0,"no"
"25","P01","Foot",1303.09050000005,25,"Female",1,"Right","Up","Palmar","0",NA,NA,1303.09050000005,1,0,"no"
"26","P01","Foot",2787.55729999989,25,"Female",1,"Left","Lateral","Palmar","135",NA,NA,2787.55729999989,1,135,"no"
"27","P01","Foot",983.294600000136,25,"Female",1,"Left","Lateral","Dorsal","45",NA,NA,983.294600000136,1,45,"no"
"28","P01","Foot",1064.98190000002,25,"Female",1,"Left","Lateral","Dorsal","90",NA,NA,1064.98190000002,1,90,"no"
"29","P01","Foot",2011.76600000008,25,"Female",1,"Left","Medial","Palmar","270",NA,NA,2011.76600000008,1,90,"no"
"30","P01","Foot",1042.62800000015,25,"Female",1,"Left","Medial","Palmar","225",NA,NA,1042.62800000015,1,135,"no"
"31","P01","Foot",1132.22080000014,25,"Female",1,"Left","Up","Palmar","0",NA,NA,1132.22080000014,1,0,"no"
"32","P01","Foot",1220.17700000015,25,"Female",1,"Right","Lateral","Dorsal","45",NA,NA,1220.17700000015,1,45,"no"
"33","P01","Foot",2329.67569999983,25,"Female",1,"Left","Lateral","Palmar","135",NA,NA,2329.67569999983,1,135,"no"
"34","P01","Foot",782.941600000186,25,"Female",1,"Right","Medial","Palmar","315",NA,NA,782.941600000186,1,45,"no"
"35","P01","Foot",1695.52950000002,25,"Female",1,"Left","Lateral","Dorsal","135",NA,NA,1695.52950000002,1,135,"no"
"36","P01","Foot",1667.42619999991,25,"Female",1,"Right","Lateral","Palmar","135",NA,NA,1667.42619999991,1,135,"no"
