"","ID","Group","Response_time","Accuracy","Side","Direction","View","Angle","RT","Block","Reject_trial"
"1","P01","Right-hand",1328.1,0,"Right","Lateral","Palmar","135",1328.1,1,"no"
"2","P01","Right-hand",1525.5,0,"Left","Medial","Palmar","315",1525.5,1,"no"
"3","P01","Right-hand",2079.2,1,"Left","Lateral","Palmar","45",2079.2,1,"no"
"4","P01","Right-hand",1346.1,1,"Left","Lateral","Dorsal","45",1346.1,1,"no"
"5","P01","Right-hand",1698.7,1,"Right","Lateral","Palmar","90",1698.7,1,"no"
"6","P01","Right-hand",1137.1,1,"Left","Medial","Palmar","225",1137.1,1,"no"
"7","P01","Right-hand",1532.2,0,"Right","Medial","Palmar","315",1532.2,1,"no"
"8","P01","Right-hand",1508.8,1,"Right","Up","Dorsal","0",1508.8,1,"no"
"9","P01","Right-hand",1130.5,1,"Left","Lateral","Dorsal","135",1130.5,1,"no"
"10","P01","Right-hand",1545.3,1,"Left","Down","Palmar","180",1545.3,1,"no"
"11","P01","Right-hand",1508.9,1,"Left","Lateral","Palmar","90",1508.9,1,"no"
"12","P01","Right-hand",1154.8,1,"Left","Lateral","Dorsal","90",1154.8,1,"no"
"13","P01","Right-hand",2263,1,"Right","Lateral","Palmar","45",2263,1,"no"
"14","P01","Right-hand",1535.9,1,"Right","Medial","Dorsal","315",1535.9,1,"no"
"15","P01","Right-hand",1321.7,1,"Right","Down","Dorsal","180",1321.7,1,"no"
"16","P01","Right-hand",1521.1,1,"Right","Up","Palmar","0",1521.1,1,"no"
"17","P01","Right-hand",962.3,1,"Left","Medial","Dorsal","270",962.3,1,"no"
"18","P01","Right-hand",1508.2,1,"Right","Lateral","Dorsal","135",1508.2,1,"no"
"19","P01","Right-hand",1512.6,0,"Left","Medial","Dorsal","225",1512.6,1,"no"
"20","P01","Right-hand",1006.3,1,"Right","Medial","Dorsal","225",1006.3,1,"no"
"21","P01","Right-hand",1146,1,"Left","Up","Palmar","0",1146,1,"no"
"22","P01","Right-hand",961.7,1,"Right","Lateral","Dorsal","45",961.7,1,"no"
"23","P01","Right-hand",955.3,1,"Left","Medial","Dorsal","315",955.3,1,"no"
"24","P01","Right-hand",1149.1,1,"Right","Medial","Dorsal","270",1149.1,1,"no"
"25","P01","Right-hand",954,1,"Right","Lateral","Dorsal","90",954,1,"no"
"26","P01","Right-hand",1712.9,1,"Right","Medial","Palmar","270",1712.9,1,"no"
"27","P01","Right-hand",1532.8,1,"Left","Medial","Palmar","270",1532.8,1,"no"
"28","P01","Right-hand",1330.3,0,"Right","Down","Palmar","180",1330.3,1,"no"
"29","P01","Right-hand",948.1,1,"Left","Up","Dorsal","0",948.1,1,"no"
"30","P01","Right-hand",955.1,0,"Left","Down","Dorsal","180",955.1,1,"no"
"31","P01","Right-hand",1153.4,1,"Right","Medial","Palmar","225",1153.4,1,"no"
"32","P01","Right-hand",2079.8,1,"Left","Lateral","Palmar","135",2079.8,1,"no"
"33","P01","Right-hand",788.3,1,"Left","Medial","Palmar","270",788.3,1,"no"
"34","P01","Right-hand",1347.5,0,"Right","Lateral","Dorsal","45",1347.5,1,"no"
"35","P01","Right-hand",2286.7,1,"Left","Lateral","Palmar","45",2286.7,1,"no"
"36","P01","Right-hand",1135.8,1,"Left","Up","Dorsal","0",1135.8,1,"no"
"37","P01","Right-hand",1337.6,1,"Left","Medial","Palmar","315",1337.6,1,"no"
"38","P01","Right-hand",1141.7,1,"Right","Medial","Palmar","225",1141.7,1,"no"
"39","P01","Right-hand",758.6,1,"Right","Lateral","Palmar","45",758.6,1,"no"
"40","P01","Right-hand",952.5,1,"Left","Lateral","Dorsal","45",952.5,1,"no"
"41","P01","Right-hand",1155,1,"Left","Medial","Dorsal","315",1155,1,"no"
"42","P01","Right-hand",1138,1,"Right","Medial","Dorsal","270",1138,1,"no"
"43","P01","Right-hand",1521.8,1,"Right","Up","Palmar","0",1521.8,1,"no"
"44","P01","Right-hand",1515.5,1,"Left","Medial","Dorsal","225",1515.5,1,"no"
"45","P01","Right-hand",1130.3,1,"Right","Down","Palmar","180",1130.3,1,"no"
"46","P01","Right-hand",1528.4,1,"Right","Medial","Palmar","315",1528.4,1,"no"
"47","P01","Right-hand",1316.2,0,"Right","Medial","Dorsal","225",1316.2,1,"no"
"48","P01","Right-hand",1731.3,1,"Right","Lateral","Dorsal","135",1731.3,1,"no"
"49","P01","Right-hand",1158.1,0,"Right","Lateral","Palmar","90",1158.1,1,"no"
"50","P01","Right-hand",1331.8,1,"Right","Lateral","Dorsal","90",1331.8,1,"no"
"51","P01","Right-hand",767.4,1,"Right","Medial","Dorsal","315",767.4,1,"no"
"52","P01","Right-hand",1706.8,1,"Left","Down","Dorsal","180",1706.8,1,"no"
"53","P01","Right-hand",1136.5,1,"Left","Up","Palmar","0",1136.5,1,"no"
"54","P01","Right-hand",953.2,1,"Right","Up","Dorsal","0",953.2,1,"no"
"55","P01","Right-hand",1534.8,1,"Left","Down","Palmar","180",1534.8,1,"no"
